Id,Algorithm,Density,Rank,Rank_M,Shape,Num_iterations,Relative_error,Time,Data,RMSE
Id1,ASD,0.1,10,10,"(512, 512)",1682,9.71E-05,9.2828269,boat.png,5.20E-05
Id2,ASD,0.2,10,10,"(512, 512)",774,9.83E-05,3.918092489,boat.png,5.25E-05
Id3,ASD,0.3,10,10,"(512, 512)",402,8.63E-05,2.179155111,boat.png,4.61E-05
Id4,ASD,0.4,10,10,"(512, 512)",536,6.13E-05,2.82851243,boat.png,3.28E-05
Id5,ASD,0.5,10,10,"(512, 512)",467,9.75E-05,2.494765043,boat.png,5.22E-05
Id6,ASD,0.6,10,10,"(512, 512)",593,9.91E-05,3.259823084,boat.png,5.30E-05
Id7,ASD,0.7,10,10,"(512, 512)",547,9.98E-05,2.821588278,boat.png,5.34E-05
Id8,ASD,0.8,10,10,"(512, 512)",346,7.30E-05,1.835797787,boat.png,3.91E-05
Id9,ASD,0.1,25,25,"(512, 512)",10000,0.004430495,53.60319972,boat.png,0.002386198
Id10,ASD,0.2,25,25,"(512, 512)",4243,1.00E-04,29.82686996,boat.png,5.38E-05
Id11,ASD,0.3,25,25,"(512, 512)",2318,9.30E-05,15.79848957,boat.png,4.99E-05
Id12,ASD,0.4,25,25,"(512, 512)",1696,8.45E-05,11.73644829,boat.png,4.54E-05
Id13,ASD,0.5,25,25,"(512, 512)",1103,9.96E-05,7.70012641,boat.png,5.36E-05
Id14,ASD,0.6,25,25,"(512, 512)",1399,9.51E-05,10.17282844,boat.png,5.11E-05
Id15,ASD,0.7,25,25,"(512, 512)",1050,8.86E-05,7.294255018,boat.png,4.76E-05
Id16,ASD,0.8,25,25,"(512, 512)",1187,6.29E-05,8.445995569,boat.png,3.38E-05
Id17,ASD,0.1,50,50,"(512, 512)",363,9.94E-05,3.081648827,boat.png,5.36E-05
Id18,ASD,0.2,50,50,"(512, 512)",10000,0.005757125,79.63763762,boat.png,0.00310937
Id19,ASD,0.3,50,50,"(512, 512)",10000,0.000310431,79.70845342,boat.png,0.000167606
Id20,ASD,0.4,50,50,"(512, 512)",6004,9.96E-05,47.67052603,boat.png,5.37E-05
Id21,ASD,0.5,50,50,"(512, 512)",3750,9.93E-05,29.87699461,boat.png,5.35E-05
Id22,ASD,0.6,50,50,"(512, 512)",2650,9.14E-05,21.09307027,boat.png,4.93E-05
Id23,ASD,0.7,50,50,"(512, 512)",3169,9.04E-05,24.6642065,boat.png,4.88E-05
Id24,ASD,0.8,50,50,"(512, 512)",2528,6.94E-05,20.22160053,boat.png,3.74E-05
Id25,ASD,0.1,100,100,"(512, 512)",50,9.37E-05,0.58364749,boat.png,5.05E-05
Id26,ASD,0.2,100,100,"(512, 512)",403,9.95E-05,4.354126215,boat.png,5.37E-05
Id27,ASD,0.3,100,100,"(512, 512)",6870,9.99E-05,67.83900928,boat.png,5.40E-05
Id28,ASD,0.4,100,100,"(512, 512)",10000,0.008246007,96.33770347,boat.png,0.004453181
Id29,ASD,0.5,100,100,"(512, 512)",10000,0.006639772,98.69869399,boat.png,0.003587491
Id30,ASD,0.6,100,100,"(512, 512)",10000,0.004157184,98.45573139,boat.png,0.00224696
Id31,ASD,0.7,100,100,"(512, 512)",10000,0.000258784,100.5853622,boat.png,0.00013982
Id32,ASD,0.8,100,100,"(512, 512)",8831,9.87E-05,95.52044821,boat.png,5.33E-05
Id33,ASD,0.1,150,150,"(512, 512)",22,8.41E-05,0.377052307,boat.png,4.55E-05
Id34,ASD,0.2,150,150,"(512, 512)",117,9.73E-05,1.523860455,boat.png,5.27E-05
Id35,ASD,0.3,150,150,"(512, 512)",389,9.93E-05,4.825101137,boat.png,5.37E-05
Id36,ASD,0.4,150,150,"(512, 512)",3788,9.92E-05,47.38334966,boat.png,5.36E-05
Id37,ASD,0.5,150,150,"(512, 512)",10000,0.004133313,129.7372713,boat.png,0.002234065
Id38,ASD,0.6,150,150,"(512, 512)",10000,0.009973873,126.5757163,boat.png,0.00539193
Id39,ASD,0.7,150,150,"(512, 512)",10000,0.007169215,121.2015352,boat.png,0.003874094
Id40,ASD,0.8,150,150,"(512, 512)",10000,0.004472579,119.5181632,boat.png,0.002417683
Id41,ASD,0.1,250,250,"(512, 512)",10,6.71E-05,0.26134491,boat.png,3.64E-05
Id42,ASD,0.2,250,250,"(512, 512)",24,9.26E-05,0.492121696,boat.png,5.00E-05
Id43,ASD,0.3,250,250,"(512, 512)",72,9.55E-05,1.247084379,boat.png,5.17E-05
Id44,ASD,0.4,250,250,"(512, 512)",234,9.92E-05,4.011924744,boat.png,5.37E-05
Id45,ASD,0.5,250,250,"(512, 512)",558,1.00E-04,9.061822653,boat.png,5.40E-05
Id46,ASD,0.6,250,250,"(512, 512)",4986,1.00E-04,79.62206864,boat.png,5.40E-05
Id47,ASD,0.7,250,250,"(512, 512)",10000,0.003063488,160.8488438,boat.png,0.001656196
Id48,ASD,0.8,250,250,"(512, 512)",10000,0.008316092,160.3588407,boat.png,0.004494666
