Algorithm,Density,Real_rank,Rank,Shape,Num_iterations,Train_error,Test_error,Full_error,Time,Data
sASD,0.4,60,55,"(512, 512)",5000,0.0113126163109,0.152496806165,0.274086964593,32.019330739974976,pexels-photo-462358.jpeg
sASD,0.4,60,56,"(512, 512)",5000,0.0106251930743,0.137743606009,0.27207931871,36.66387867927551,pexels-photo-462358.jpeg
sASD,0.4,60,57,"(512, 512)",5000,0.0103989892064,0.150355559116,0.27883481436,34.793834924697876,pexels-photo-462358.jpeg
sASD,0.4,60,58,"(512, 512)",5000,0.00994354636175,0.141756044319,0.283704938501,31.94545602798462,pexels-photo-462358.jpeg
sASD,0.4,60,59,"(512, 512)",5000,0.00979073718933,0.165424861674,0.305034841967,32.786362648010254,pexels-photo-462358.jpeg
sASD,0.4,60,60,"(512, 512)",5000,0.00954844511242,0.162501869121,0.303901573753,32.48159837722778,pexels-photo-462358.jpeg
sASD,0.4,60,61,"(512, 512)",5000,0.00896621587663,0.1635896828,0.304327264187,32.613484382629395,pexels-photo-462358.jpeg
sASD,0.4,60,62,"(512, 512)",5000,0.00888590353827,0.171104651681,0.324680090999,32.95024871826172,pexels-photo-462358.jpeg
sASD,0.4,60,63,"(512, 512)",5000,0.00841432215796,0.160348690291,0.320641585561,32.98764228820801,pexels-photo-462358.jpeg
sASD,0.4,60,64,"(512, 512)",5000,0.00798166653368,0.162451258189,0.320102494465,32.27132320404053,pexels-photo-462358.jpeg
sASD,0.4,60,65,"(512, 512)",5000,0.00772898603564,0.176525548755,0.331817043133,33.65141153335571,pexels-photo-462358.jpeg
